ProductID,ProductName,Category,Price
101,Product 101,OTC,350.4116289303526
102,Product 102,OTC,338.53376997403063
103,Product 103,OTC,212.69996931829084
104,Product 104,OTC,183.8849926816476
105,Product 105,Prescription,345.0003720385166
106,Product 106,OTC,378.0972038954513
107,Product 107,OTC,455.4305941498508
108,Product 108,Prescription,354.1114041089225
109,Product 109,Prescription,355.7124018918122
110,Product 110,OTC,35.8141242350991
111,Product 111,OTC,305.78088888855245
112,Product 112,Supplements,473.60589830235983
113,Product 113,OTC,279.18374263291173
114,Product 114,Prescription,91.15925554605778
115,Product 115,Prescription,269.4958948251496
116,Product 116,Prescription,82.79574244573185
117,Product 117,Supplements,427.23485742906354
118,Product 118,Supplements,317.4232655995802
119,Product 119,OTC,261.21087531437826
120,Product 120,OTC,45.61473606148446
121,Product 121,Supplements,178.93545490452138
122,Product 122,Supplements,484.4363005250011
123,Product 123,Prescription,44.73815825500075
124,Product 124,Prescription,59.45940911969982
125,Product 125,OTC,205.0973715117927
126,Product 126,Prescription,178.61826202687328
127,Product 127,OTC,259.3737852781566
128,Product 128,OTC,113.18078273238184
129,Product 129,Prescription,351.92454573473736
130,Product 130,OTC,73.28811878647033
131,Product 131,Supplements,66.55330712261167
132,Product 132,Prescription,219.898727948512
133,Product 133,Prescription,434.8151440170079
134,Product 134,OTC,453.3101286536551
135,Product 135,Prescription,151.72073087119182
136,Product 136,Prescription,332.5885576470564
137,Product 137,Supplements,362.3364500221045
138,Product 138,Prescription,373.23541250553313
139,Product 139,Supplements,125.07716991912542
140,Product 140,OTC,387.7282447905646
141,Product 141,Prescription,10.14077420013054
142,Product 142,OTC,281.6633356459228
143,Product 143,Prescription,79.57487671178302
144,Product 144,OTC,8.488654184423037
145,Product 145,Prescription,23.228969060546515
146,Product 146,Prescription,70.36715315236462
147,Product 147,Prescription,277.9379568962914
148,Product 148,Prescription,233.0675491271584
149,Product 149,Prescription,309.3093087280747
150,Product 150,OTC,146.00601223660576
151,Product 151,Prescription,437.2240170792773
152,Product 152,Prescription,203.1907451397283
153,Product 153,Prescription,224.66852871458013
154,Product 154,OTC,259.5665346550305
155,Product 155,OTC,488.3378934165567
156,Product 156,OTC,425.54915162463817
157,Product 157,OTC,110.24625572896451
158,Product 158,Prescription,302.0302744632365
159,Product 159,OTC,378.2175879496901
160,Product 160,Supplements,395.2673551981743
161,Product 161,Prescription,47.39981878205763
162,Product 162,Supplements,108.05836974076334
163,Product 163,Prescription,112.60683875244612
164,Product 164,Supplements,390.278369472834
165,Product 165,OTC,372.98083909664695
166,Product 166,Prescription,443.7765959703854
167,Product 167,Supplements,447.5653623030843
168,Product 168,Prescription,474.7029217323943
169,Product 169,Supplements,53.00466983033586
170,Product 170,OTC,359.780331714068
171,Product 171,Supplements,51.43299575658573
172,Product 172,Prescription,98.48942316896368
173,Product 173,OTC,279.40203001104373
174,Product 174,Supplements,380.8494267940433
175,Product 175,Prescription,117.39752223872492
176,Product 176,OTC,381.386805244536
177,Product 177,OTC,323.78473601361213
178,Product 178,Supplements,478.7749400030097
179,Product 179,Prescription,100.02401119764605
180,Product 180,Supplements,199.83585088424945
181,Product 181,Prescription,123.5977773328419
182,Product 182,Supplements,257.4180356972364
183,Product 183,Supplements,355.99294838506177
184,Product 184,Prescription,471.3754764487924
185,Product 185,OTC,448.51906146912165
186,Product 186,Supplements,22.69700372001524
187,Product 187,Supplements,382.6463357206263
188,Product 188,Prescription,348.88656854197376
189,Product 189,Supplements,32.58170684486447
190,Product 190,Prescription,9.97542288877145
191,Product 191,Prescription,249.44831476076985
192,Product 192,Supplements,346.55934118023526
193,Product 193,OTC,407.2818163215828
194,Product 194,Prescription,36.0563503906136
195,Product 195,OTC,442.7454432729018
196,Product 196,Supplements,317.41096954691767
197,Product 197,OTC,185.57927253010388
198,Product 198,Supplements,355.20258038071904
199,Product 199,OTC,25.182156391201502
200,Product 200,OTC,54.44486664444116
201,Product 201,Supplements,340.39952648995416
202,Product 202,Supplements,53.07189346098152
203,Product 203,Prescription,459.1183023726168
204,Product 204,OTC,9.241388736735797
205,Product 205,Supplements,241.40580892460517
206,Product 206,OTC,360.819617109667
207,Product 207,Supplements,386.9168554050029
208,Product 208,Supplements,295.0715358828224
209,Product 209,OTC,421.2077530645312
210,Product 210,Supplements,404.0548654471418
211,Product 211,Supplements,263.76113064775905
212,Product 212,Supplements,261.66006018288243
213,Product 213,Supplements,443.6678416486636
214,Product 214,Prescription,467.6233644539823
215,Product 215,OTC,395.6161392398543
216,Product 216,Supplements,164.5005227980921
217,Product 217,OTC,188.3410955112448
218,Product 218,Supplements,282.4277005943088
219,Product 219,OTC,318.9328930756807
220,Product 220,Supplements,478.6287248603688
221,Product 221,Supplements,243.88874555899312
222,Product 222,Supplements,385.0419498560402
223,Product 223,Supplements,364.3811386647925
224,Product 224,Prescription,375.79637537940135
225,Product 225,Supplements,323.1967334591937
226,Product 226,Supplements,339.0160998060371
227,Product 227,OTC,70.07971291205253
228,Product 228,OTC,93.47873132563927
229,Product 229,Supplements,359.1807596905036
230,Product 230,OTC,430.0605148174981
231,Product 231,Supplements,434.7869388173525
232,Product 232,Supplements,480.24177565267007
233,Product 233,Prescription,235.5605953488873
234,Product 234,OTC,380.0184348490699
235,Product 235,Prescription,189.1009590582407
236,Product 236,Supplements,379.98972334429385
237,Product 237,Supplements,272.4897586304809
238,Product 238,Supplements,155.74728645399003
239,Product 239,OTC,485.8161677520002
240,Product 240,Prescription,478.3047675097333
241,Product 241,Prescription,401.0920592607349
242,Product 242,Supplements,379.6697423681297
243,Product 243,OTC,494.1061566796004
244,Product 244,Prescription,442.036708529845
245,Product 245,OTC,204.96047714716815
246,Product 246,OTC,46.68193590993548
247,Product 247,Prescription,151.26969377644184
248,Product 248,OTC,277.0158238190974
249,Product 249,Prescription,412.5652756048366
250,Product 250,Supplements,206.5512722212069
251,Product 251,OTC,136.21625724208812
252,Product 252,Supplements,386.3664399974959
253,Product 253,Prescription,477.7307440589436
254,Product 254,OTC,380.54183402657895
255,Product 255,Supplements,386.3699145831515
256,Product 256,OTC,305.50955299838887
257,Product 257,Prescription,307.51076313972544
258,Product 258,OTC,75.96730057778747
259,Product 259,OTC,465.7597394532612
260,Product 260,OTC,340.5076735812416
261,Product 261,Prescription,93.4616788749682
262,Product 262,Supplements,103.507017775754
263,Product 263,OTC,224.59329293796077
264,Product 264,Prescription,356.68650330429625
265,Product 265,OTC,399.4866286131248
266,Product 266,OTC,497.9011949511531
267,Product 267,OTC,138.38563968947517
268,Product 268,Prescription,190.4088856127734
269,Product 269,Prescription,452.7258868937324
270,Product 270,OTC,389.5972693941182
271,Product 271,Prescription,103.54677654591636
272,Product 272,Prescription,43.39191065250568
273,Product 273,Supplements,354.51226474661667
274,Product 274,Supplements,21.30298234577834
275,Product 275,OTC,447.0338396464675
276,Product 276,Supplements,346.02767581252124
277,Product 277,OTC,32.45076754105141
278,Product 278,OTC,413.1996805251768
279,Product 279,Supplements,329.250825579195
280,Product 280,Supplements,13.699514337184572
281,Product 281,Prescription,130.61353649381593
282,Product 282,Prescription,295.6444925539511
283,Product 283,OTC,117.65865638880472
284,Product 284,OTC,24.67214806558196
285,Product 285,Prescription,393.7158656210885
286,Product 286,OTC,200.8770566130417
287,Product 287,Prescription,304.6015654749868
288,Product 288,OTC,242.022047067551
289,Product 289,Prescription,308.32228718674685
290,Product 290,Prescription,37.02241195834483
291,Product 291,OTC,139.63410742557912
292,Product 292,Supplements,269.1433880623594
293,Product 293,Prescription,356.76626877264846
294,Product 294,Supplements,367.00851399544274
295,Product 295,Supplements,496.0783278710745
296,Product 296,Supplements,161.87774718753994
297,Product 297,Supplements,420.6339229367334
298,Product 298,OTC,378.60579239209216
299,Product 299,OTC,109.81846804238909
300,Product 300,Supplements,264.25222976287245
301,Product 301,OTC,32.08237239964525
302,Product 302,Supplements,27.31818158413295
303,Product 303,OTC,20.13921478435293
304,Product 304,Prescription,23.07975902589531
305,Product 305,Prescription,157.15492160308284
306,Product 306,OTC,174.65135139304442
307,Product 307,Prescription,365.9517207615197
308,Product 308,Supplements,205.0139872845916
309,Product 309,Supplements,128.51461680465314
310,Product 310,OTC,28.906297619367383
311,Product 311,OTC,397.0019443175104
312,Product 312,Prescription,130.662369956034
313,Product 313,Prescription,35.00550820593996
314,Product 314,OTC,338.1110264672069
315,Product 315,OTC,98.57802697000244
316,Product 316,OTC,263.39533382673534
317,Product 317,OTC,189.91409609529444
318,Product 318,OTC,459.96121572012623
